timestamp,hour,candle_size,ema_distance,atr,adx,rsi,volume,trend_above_ema,range_status,volatility_level,outcome,entered,had_signal
1750938600,12,1.0700000000001637,2.6623264317149733,1.707857142857165,56.31880121981271,60.33057851239638,265.0,1,0,0,-1,0,0
1750938900,12,0.0700000000001637,2.481632639921372,1.6435714285714766,52.94338079174311,62.41519674355696,4.0,1,0,0,-1,0,0
1750939200,13,0.0699999999997089,2.548088024730987,1.707857142857165,51.78770991490551,65.0834403080859,2.0,1,0,0,-1,0,0
1750938600,12,1.0700000000001637,2.6623264317149733,1.707857142857165,56.31880121981271,60.33057851239638,265.0,1,0,0,-1,0,0
1750939800,13,0.0299999999997453,0.8318248676832809,1.9442857142857324,37.38362952548393,43.18389752973586,2.0,1,0,0,-1,0,0
1750940100,13,0.0,3.4097002100070317,2.04071428571433,35.40891935586839,33.52232459248742,1.0,1,0,1,-1,0,0
1750940100,13,1.7800000000002,3.747526296963315,2.1671428571429323,35.55341724899585,32.64177040110715,658.0,1,0,1,-1,0,0
1750940400,13,0.010000000000218279,3.8309361085748606,1.9800000000000832,32.95076624960711,24.166048925130923,2.0,1,0,1,-1,0,0
1750940700,13,0.03999999999996362,4.061516333536929,1.9407142857143558,31.70164783372514,24.682124158564662,2.0,1,0,0,-1,0,0
1750941000,13,0.05999999999994543,2.8619893933819185,1.9550000000000896,30.33485601675563,29.32960893854812,2.0,1,0,0,-1,0,0
1750941300,13,0.0,3.5968258544512537,2.055000000000096,28.66762319943822,28.885832187071188,1.0,1,0,1,-1,0,0
1750941600,13,0.03000000000020009,1.4524137763687577,2.1792857142857947,27.524290122333834,37.45476477683893,2.0,1,0,1,-1,0,0
1750941900,13,0.01999999999998181,2.0597275122581777,2.1364285714286586,26.883311924016827,30.98159509202445,2.0,1,0,1,-1,0,0
1750942200,13,0.03000000000020009,1.8528324922872343,2.1500000000001234,27.50978103899167,31.41646489104255,2.0,1,0,1,-1,0,0
1750942500,13,0.0,1.524986944754346,2.0657142857143884,27.453427862887953,27.834394904459515,1.0,1,0,1,-1,0,0
1750942800,14,0.0,1.6924928058906517,2.0878571428572417,27.47989211346466,27.869897959184556,1.0,1,0,1,-1,0,0
1750943100,14,0.1000000000003638,2.3035425808011496,2.0707142857144,27.083817484164552,23.15921963499126,2.0,1,0,1,-1,0,0
1750943400,14,0.0,2.3358621295396915,1.8592857142857935,30.233213406819935,28.38461538461732,1.0,1,0,0,-1,0,0
1750943700,14,0.02999999999974534,1.9751444396365514,1.8971428571429183,33.310699074831845,31.120000000001482,2.0,1,0,0,-1,0,0
1750944000,14,0.0,2.1201791386506557,1.732142857142922,34.16656299460557,40.26915113871656,1.0,1,0,0,-1,0,0
